2026-05-13 03:37:59 | GraphService | INFO | [Graph] Relationship created: (secretary of state for constitutional affairs)-[was_a_position_within]->(british government)
2026-05-13 03:37:59 | GraphService | INFO | [Graph] Relationship created: (secretary of state for constitutional affairs)-[was_created_in]->(2003)
2026-05-13 03:53:44 | GraphService | INFO | [Graph] Relationship created: (etiquette & espionage)-[is_written_by]->(gail carriger)
2026-05-13 03:53:44 | GraphService | DEBUG | [Bi-Temporal] 'is_written_by' has no evolution rules — creating 'is_her_first_young_adult_novel' as parallel edge (etiquette & espionage → gail carriger)
2026-05-13 03:53:44 | GraphService | INFO | [Graph] Relationship created_parallel: (etiquette & espionage)-[is_her_first_young_adult_novel]->(gail carriger)
2026-05-13 03:53:44 | GraphService | INFO | [Graph] Relationship created: (etiquette & espionage)-[is_set_in]->(universe)
2026-05-13 03:53:44 | GraphService | INFO | [Graph] Relationship created: (parasol protectorate)-[shares_a_setting_with]->(universe)
2026-05-13 04:18:21 | GraphService | INFO | [Graph] Relationship created: (esma sultan)-[is_the_name_of]->(daughters)
2026-05-13 04:18:21 | GraphService | INFO | [Graph] Relationship created: (daughters)-[are_of]->(ottoman sultans)
2026-05-13 04:36:05 | GraphService | INFO | [Graph] Relationship created: (esma sultan)-[is_the_daughter_of]->(ahmed iii)
2026-05-13 04:36:05 | GraphService | INFO | [Graph] Relationship created: (esma sultan)-[is_the_daughter_of]->(zeynep kadın)
2026-05-13 04:36:05 | GraphService | INFO | [Graph] Relationship created: (ahmed iii)-[is_married_to_consort]->(zeynep kadın)
2026-05-13 04:36:05 | GraphService | INFO | [Graph] Relationship created: (esma sultan)-[is_the_halfsister_of]->(mustafa iii)
2026-05-13 04:36:05 | GraphService | INFO | [Graph] Relationship created: (esma sultan)-[is_the_halfsister_of]->(abdul hamid i)
2026-05-13 06:57:30 | GraphService | INFO | [Graph] Relationship created: (seventeen)-[relates_to]->(south korea)
2026-05-13 09:29:56 | GraphService | INFO | [Graph] Relationship created: (kansas song (we're from kansas))-[is_classified_as_a]->(fight song)
2026-05-13 09:29:56 | GraphService | INFO | [Graph] Relationship created: (kansas song (we're from kansas))-[is_the_fight]->(university of kansas)
2026-05-13 11:34:29 | GraphService | INFO | [Graph] Relationship created: (vermont catamounts men's soccer team)-[represents]->(university of vermont)
2026-05-13 11:34:29 | GraphService | INFO | [Graph] Relationship created: (vermont catamounts men's soccer team)-[competes_in_all]->(ncaa division i men's college soccer competitions)
2026-05-13 11:34:29 | GraphService | INFO | [Graph] Relationship created: (vermont catamounts men's soccer team)-[competes_in]->(america east conference)
2026-05-13 12:14:13 | GraphService | INFO | [Graph] Relationship created: (giuseppe fortunino francesco verdi)-[is_of_nationality]->(italian)
2026-05-13 12:14:14 | GraphService | INFO | [Graph] Relationship created: (giuseppe fortunino francesco verdi)-[was_a_professional]->(opera composer)
2026-05-13 12:14:14 | GraphService | INFO | [Graph] Relationship created: (giuseppe fortunino francesco verdi)-[lived_during_the_period_of]->(9 or 10 october 1813 – 27 january 1901)
2026-05-13 13:27:26 | GraphService | INFO | [Graph] Relationship created: (henry roth)-[was_of_nationality]->(american)
2026-05-13 14:52:19 | GraphService | INFO | [Graph] Relationship created: (sergio pérez mendoza)-[was_born_on]->(26 january 1990)
2026-05-14 01:43:59 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[is_from]->(new york city)
2026-05-14 01:43:59 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[is_currently_based_in]->(chicago, illinois)
2026-05-14 01:43:59 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[is_composed_of_as_singerviolinist]->(simi sernaker)
2026-05-14 01:43:59 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[is_composed_of_as_guitarist]->(jason chasko)
2026-05-14 01:43:59 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[is_composed_of_as_bassist]->(kevin roberts)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[is_composed_of_as_drummer]->(danny severson)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[has_toured_with]->(local h)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[has_toured_with]->(the last vegas)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[has_toured_with]->(bob schneider)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[opened_for_reunited]->(mc5)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[released]->(self-titled debut album)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (self-titled debut album)-[was_released_on]->(february 2, 2003)
2026-05-14 01:44:00 | GraphService | INFO | [Graph] Relationship created: (suffrajett)-[released]->(black glitter)
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[was_directed_by]->(carmine gallone)
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[starred]->(fosco giachetti)
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[starred]->(gaby morlay)
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[starred]->(germana paolieri)
