2026-05-16 22:00:01 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Defining geographic areas of the Alpine National Park'
2026-05-16 22:00:01 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Defining geographic areas of the Alpine National Park' (id=community_l2_bac7c70244904a4ab8792ba893e9d2c2, 2 members)
2026-05-16 22:00:01 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4742/5423 (1 members)
2026-05-16 22:00:01 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4742/5423: singleton entity cluster (victoria)
2026-05-16 22:00:01 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4743/5423 (1 members)
2026-05-16 22:00:01 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4743/5423: singleton entity cluster (great dividing range)
2026-05-16 22:00:01 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4744/5423 (1 members)
2026-05-16 22:00:01 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4744/5423: singleton entity cluster (bogong high plains)
2026-05-16 22:00:01 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4745/5423 (1 members)
2026-05-16 22:00:01 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4745/5423: singleton entity cluster (kosciuszko national park)
2026-05-16 22:00:01 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4746/5423 (2 members)
2026-05-16 22:00:30 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Date of inclusion on a national heritage registry' id=community_l2_95a55754200b49dc870524f35d225e8b
2026-05-16 22:00:30 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Date of inclusion on a national heritage registry'
2026-05-16 22:00:30 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Date of inclusion on a national heritage registry' (id=community_l2_95a55754200b49dc870524f35d225e8b, 2 members)
2026-05-16 22:00:30 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4747/5423 (1 members)
2026-05-16 22:00:30 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4747/5423: singleton entity cluster (australian alps national parks and reserves)
2026-05-16 22:00:30 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4748/5423 (2 members)
2026-05-16 22:01:02 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'North Cascades Park Units within the Service Complex' id=community_l2_465f33a2fc1e41abbc39336c70f8a762
2026-05-16 22:01:02 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'North Cascades Park Units within the Service Complex'
2026-05-16 22:01:02 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'North Cascades Park Units within the Service Complex' (id=community_l2_465f33a2fc1e41abbc39336c70f8a762, 2 members)
2026-05-16 22:01:02 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4749/5423 (1 members)
2026-05-16 22:01:02 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4749/5423: singleton entity cluster (u.s. national park)
2026-05-16 22:01:02 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4750/5423 (1 members)
2026-05-16 22:01:02 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4750/5423: singleton entity cluster (national wilderness areas)
2026-05-16 22:01:02 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4751/5423 (1 members)
2026-05-16 22:01:02 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4751/5423: singleton entity cluster (british columbia parkland)
2026-05-16 22:01:02 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4752/5423 (1 members)
2026-05-16 22:01:02 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4752/5423: singleton entity cluster (north cascades range)
2026-05-16 22:01:02 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4753/5423 (1 members)
2026-05-16 22:01:02 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4753/5423: singleton entity cluster (rugged mountain peaks)
2026-05-16 22:01:02 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4754/5423 (4 members)
2026-05-16 22:01:49 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Compilations and Editions of Roald Dahl's Short Stories' id=community_l2_309165aca2084ee78d3c0050d31b98c0
