2026-05-08 22:05:18 | uvicorn.error | INFO | Started server process [73666]
2026-05-08 22:05:18 | uvicorn.error | INFO | Waiting for application startup.
2026-05-08 22:05:18 | API | INFO | Application startup: LiveOS API online
2026-05-08 22:05:18 | uvicorn.error | INFO | Application startup complete.
2026-05-08 22:05:21 | uvicorn.access | INFO | 127.0.0.1:61008 - "GET /api/v1/notes HTTP/1.1" 200
2026-05-08 22:05:47 | uvicorn.access | INFO | 127.0.0.1:61011 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:06:05 | uvicorn.access | INFO | 127.0.0.1:61110 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:06:35 | uvicorn.access | INFO | 127.0.0.1:61201 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:06:47 | uvicorn.access | INFO | 127.0.0.1:61324 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:06:55 | uvicorn.access | INFO | 127.0.0.1:61368 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:07:01 | uvicorn.access | INFO | 127.0.0.1:61404 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:07:08 | uvicorn.access | INFO | 127.0.0.1:61436 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:07:17 | uvicorn.access | INFO | 127.0.0.1:61469 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:07:35 | uvicorn.access | INFO | 127.0.0.1:61507 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:07:50 | uvicorn.access | INFO | 127.0.0.1:61609 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:08:11 | uvicorn.access | INFO | 127.0.0.1:61680 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:08:28 | uvicorn.access | INFO | 127.0.0.1:61727 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:08:36 | uvicorn.access | INFO | 127.0.0.1:61799 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:08:47 | uvicorn.access | INFO | 127.0.0.1:61821 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:09:00 | uvicorn.access | INFO | 127.0.0.1:61878 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:12:03 | uvicorn.access | INFO | 127.0.0.1:61919 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:12:29 | uvicorn.access | INFO | 127.0.0.1:62353 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:12:31 | uvicorn.access | INFO | 127.0.0.1:62410 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:12:42 | uvicorn.access | INFO | 127.0.0.1:62413 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:12:53 | uvicorn.access | INFO | 127.0.0.1:62458 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:13:06 | uvicorn.access | INFO | 127.0.0.1:62505 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:13:32 | uvicorn.access | INFO | 127.0.0.1:62578 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:13:43 | uvicorn.access | INFO | 127.0.0.1:62709 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:14:01 | uvicorn.access | INFO | 127.0.0.1:62761 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:14:13 | uvicorn.access | INFO | 127.0.0.1:62858 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:14:24 | uvicorn.access | INFO | 127.0.0.1:62912 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:14:39 | uvicorn.access | INFO | 127.0.0.1:62959 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:14:50 | uvicorn.access | INFO | 127.0.0.1:63006 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:15:02 | uvicorn.access | INFO | 127.0.0.1:63063 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:15:10 | uvicorn.access | INFO | 127.0.0.1:63116 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:15:18 | uvicorn.access | INFO | 127.0.0.1:63146 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:15:28 | uvicorn.access | INFO | 127.0.0.1:63184 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:15:39 | uvicorn.access | INFO | 127.0.0.1:63231 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:15:56 | uvicorn.access | INFO | 127.0.0.1:63277 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:16:15 | uvicorn.access | INFO | 127.0.0.1:63369 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:16:29 | uvicorn.access | INFO | 127.0.0.1:63463 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:16:37 | uvicorn.access | INFO | 127.0.0.1:63511 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:16:49 | uvicorn.access | INFO | 127.0.0.1:63549 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:16:59 | uvicorn.access | INFO | 127.0.0.1:63596 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:17:15 | uvicorn.access | INFO | 127.0.0.1:63642 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:17:31 | uvicorn.access | INFO | 127.0.0.1:63707 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:17:40 | uvicorn.access | INFO | 127.0.0.1:63765 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:17:51 | uvicorn.access | INFO | 127.0.0.1:63805 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:18:01 | uvicorn.access | INFO | 127.0.0.1:63849 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:18:17 | uvicorn.access | INFO | 127.0.0.1:63889 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:18:30 | uvicorn.access | INFO | 127.0.0.1:63936 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:18:41 | uvicorn.access | INFO | 127.0.0.1:63983 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:18:48 | uvicorn.access | INFO | 127.0.0.1:64032 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:19:03 | uvicorn.access | INFO | 127.0.0.1:64070 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:19:18 | uvicorn.access | INFO | 127.0.0.1:64128 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:20:31 | uvicorn.access | INFO | 127.0.0.1:64169 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:20:47 | uvicorn.access | INFO | 127.0.0.1:64360 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:21:02 | uvicorn.access | INFO | 127.0.0.1:64426 - "POST /api/v1/chat HTTP/1.1" 200
