2026-05-04 19:47:36 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[is_the_subject_of]->(1994 american biographical period comedy-drama film)
2026-05-04 19:47:36 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[is_directed_and_produced_by]->(tim burton)
2026-05-04 19:47:36 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[is_portrayed_by]->(johnny depp)
2026-05-04 19:47:36 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[has_a_relationship_with]->(bela lugosi)
2026-05-04 19:47:37 | GraphService | INFO | [Graph] Relationship created: (bela lugosi)-[is_portrayed_by]->(martin landau)
2026-05-04 19:47:37 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[has_a_supporting_cast_member]->(sarah jessica parker)
2026-05-04 19:47:37 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[has_a_supporting_cast_member]->(patricia arquette)
2026-05-04 19:47:37 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[has_a_supporting_cast_member]->(jeffrey jones)
2026-05-04 19:47:37 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[has_a_supporting_cast_member]->(lisa marie)
2026-05-04 19:47:37 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[has_a_supporting_cast_member]->(bill murray)
2026-05-04 19:48:16 | GraphService | INFO | [Graph] Relationship created: (scott derrickson)-[lives_in]->(los angeles)
2026-05-04 19:48:16 | GraphService | INFO | [Graph] Relationship created: (scott derrickson)-[lives_in]->(california)
2026-05-04 19:48:16 | GraphService | INFO | [Graph] Relationship created: (scott derrickson)-[directs]->(sinister)
2026-05-04 19:48:16 | GraphService | INFO | [Graph] Relationship created: (scott derrickson)-[directs]->(the exorcism of emily rose)
2026-05-04 19:48:16 | GraphService | INFO | [Graph] Relationship created: (scott derrickson)-[directs]->(deliver us from evil)
2026-05-04 19:48:16 | GraphService | INFO | [Graph] Relationship created: (scott derrickson)-[directs]->(doctor strange)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_located_in]->(pulaski county)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_located_in]->(arkansas)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_part_of]->(little rock–north little rock–conway metropolitan statistical area)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_associated_with]->(woodson lake)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_associated_with]->(wood hollow)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_named_after]->(ed wood sr.)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (ed wood sr.)-[owns]->(wood plantation)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (woodson)-[is_a]->(cdp)
2026-05-04 19:49:07 | GraphService | INFO | [Graph] Relationship created: (2010 census)-[recorded_population_of]->(woodson)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[composed_music_for]->(dawn of the dead, 300, sucker punch, john wick)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[collaborates_with]->(zack snyder)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[collaborates_with]->(rob zombie)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[collaborates_with]->(neil marshall)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[collaborates_with]->(william friedkin)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[collaborates_with]->(scott derrickson)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[collaborates_with]->(james gunn)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[scored]->(guardians of the galaxy)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[scored]->(guardians of the galaxy vol. 2)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[is_the_lead_guitarist_of]->(marilyn manson)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[produced]->(the pale emperor)
2026-05-04 19:50:18 | GraphService | INFO | [Graph] Relationship created: (tyler bates)-[produced]->(heaven upside down)
2026-05-04 19:50:51 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[is_named]->(edward davis wood jr.)
2026-05-04 19:50:51 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[was_born_on]->(october 10, 1924)
2026-05-04 19:50:51 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[died_on]->(december 10, 1978)
2026-05-04 19:50:52 | GraphService | INFO | [Graph] Relationship created: (ed wood)-[is]->(american)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (deliver us from evil)-[is_directed_by]->(scott derrickson)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (deliver us from evil)-[is_produced_by]->(jerry bruckheimer)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (deliver us from evil)-[is_based_on]->(beware the night)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (ralph sarchie)-[wrote]->(beware the night)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (lisa collier cool)-[cowrote]->(beware the night)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (eric bana)-[is_an_actor_in]->(deliver us from evil)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (edgar ramírez)-[is_an_actor_in]->(deliver us from evil)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (sean harris)-[is_an_actor_in]->(deliver us from evil)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (olivia munn)-[is_an_actor_in]->(deliver us from evil)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (joel mchale)-[is_an_actor_in]->(deliver us from evil)
2026-05-04 19:51:56 | GraphService | INFO | [Graph] Relationship created: (deliver us from evil)-[was_released_in]->(2014)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[attended]->(duke university)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[attended]->(ucla)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[attended]->(university of southern california)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[worked_as_assistant_director]->(love in the ruins)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[worked_for]->(scott derrickson)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[played_role_of_crankshaft]->(hundred percent)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[played_role]->(crankshaft)
2026-05-04 19:52:48 | GraphService | INFO | [Graph] Relationship created: (adam collis)-[worked_for]->(eric koyanagi)
2026-05-04 19:53:29 | GraphService | INFO | [Graph] Relationship created: (sinister)-[is_directed_by]->(scott derrickson)
2026-05-04 19:53:29 | GraphService | INFO | [Graph] Relationship created: (sinister)-[is_written_by]->(c. robert cargill)
2026-05-04 19:53:29 | GraphService | INFO | [Graph] Relationship created: (ethan hawke)-[plays_the_role_of]->(ellison oswalt)
2026-05-04 19:53:29 | GraphService | INFO | [Graph] Relationship created: (sinister)-[was_released_in]->(2012)
2026-05-04 19:53:29 | GraphService | INFO | [Graph] Relationship created: (home movies)-[puts_in_danger]->(ellison oswalt)
2026-05-04 19:53:29 | GraphService | INFO | [Graph] Relationship created: (home movies)-[is_found_in]->(attic)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[is_named]->(conrad biedrzycki)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[was_born_in]->(baltimore)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[was_born_in]->(maryland)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[moved_to]->(hollywood)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[worked_in]->(ed wood films)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[appeared_in]->(plan 9 from outer space)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[appeared_in]->(glen or glenda)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[appeared_in]->(jail bait)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[moved_to_in]->(1948)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[took_a_break_during]->(1960s and 1970s)
2026-05-04 19:54:33 | GraphService | INFO | [Graph] Relationship created: (conrad brooks)-[reemerged_in]->(1980s)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[was_released_in]->(2016)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[is_produced_by]->(marvel studios)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[is_distributed_by]->(walt disney studios motion pictures)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[is_directed_by]->(scott derrickson)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[is_written_by]->(jon spaihts)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[is_written_by]->(c. robert cargill)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(benedict cumberbatch)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[features]->(stephen strange)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(chiwetel ejiofor)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(rachel mcadams)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(benedict wong)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(michael stuhlbarg)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(benjamin bratt)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(mads mikkelsen)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[stars]->(tilda swinton)
2026-05-04 19:55:45 | GraphService | INFO | [Graph] Relationship created: (doctor strange)-[is_part_of]->(marvel cinematic universe (mcu))
2026-05-04 19:56:56 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[broadcast_by]->(cbs)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[was_cbss_answer_to]->(nbc)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[was_cbss_answer_to]->("a date with judy")
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[ran_from]->(1943 to 1956)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[started_on]->(january 7, 1943)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[ended_on]->(september 30, 1956)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[was_broadcast_by_nbc_on]->(january 7, 1948)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[aired_on_abc_on]->(september 30, 1953)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[ceased_airing_on_abc_on]->(june 26, 1953)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship created: (corliss archer)-[aired_on_abc_from]->(october 3, 1952)
2026-05-04 19:56:57 | GraphService | INFO | [Graph] Relationship reinforced: (corliss archer)-[ceased_airing_on_abc_on]->(june 26, 1953)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[was_born_on]->(april 23, 1928)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[died_on]->(february 10, 2014)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[is]->(american)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[is]->(actress)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[is]->(singer)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[is]->(dancer)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[is]->(businesswoman)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[is]->(diplomat)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[was_hollywoods_number_one_boxoffice_draw]->(hollywood)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[served_as_ambassador_to]->(ghana)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[served_as_ambassador_to]->(czechoslovakia)
2026-05-04 19:58:01 | GraphService | INFO | [Graph] Relationship created: (shirley temple black)-[served_as]->(chief of protocol of the united states)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[was_born_on]->(february 4, 1920)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[died_on]->(june 12, 2016)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[is]->(american radio and voice actress)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[voiced]->(judy jetson)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[voiced]->(nancy)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[voiced]->(penelope pitstop)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[voiced]->(josie)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[voiced]->(shazzan)
2026-05-04 19:58:53 | GraphService | INFO | [Graph] Relationship created: (janet waldo)-[performed_in]->(meet corliss archer)
2026-05-04 19:59:38 | GraphService | DEBUG | [Bi-Temporal] 'broadcast_by' has no evolution rules — creating 'aired_on' as parallel edge (corliss archer → cbs)
