2026-05-08 23:42:23 | uvicorn.error | INFO | Started server process [12998]
2026-05-08 23:42:23 | uvicorn.error | INFO | Waiting for application startup.
2026-05-08 23:42:23 | API | INFO | Application startup: LiveOS Brain API online
2026-05-08 23:42:23 | uvicorn.error | INFO | Application startup complete.
2026-05-08 23:42:25 | uvicorn.access | INFO | 127.0.0.1:53242 - "GET /api/v1/notes HTTP/1.1" 200
2026-05-08 23:42:58 | uvicorn.access | INFO | 127.0.0.1:53245 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:45:25 | uvicorn.access | INFO | 127.0.0.1:53314 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:48:03 | uvicorn.access | INFO | 127.0.0.1:53686 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:48:29 | uvicorn.access | INFO | 127.0.0.1:54001 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:51:32 | uvicorn.access | INFO | 127.0.0.1:54052 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:51:52 | uvicorn.access | INFO | 127.0.0.1:54403 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:54:18 | uvicorn.access | INFO | 127.0.0.1:54442 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:56:07 | uvicorn.access | INFO | 127.0.0.1:54720 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:56:35 | uvicorn.access | INFO | 127.0.0.1:54909 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:57:02 | uvicorn.access | INFO | 127.0.0.1:54961 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:57:28 | uvicorn.access | INFO | 127.0.0.1:55011 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:59:56 | uvicorn.access | INFO | 127.0.0.1:55059 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:00:56 | uvicorn.access | INFO | 127.0.0.1:55296 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:01:38 | uvicorn.access | INFO | 127.0.0.1:55396 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:02:36 | uvicorn.access | INFO | 127.0.0.1:55447 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:06:11 | uvicorn.access | INFO | 127.0.0.1:55551 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:11:21 | uvicorn.access | INFO | 127.0.0.1:55991 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:14:59 | uvicorn.access | INFO | 127.0.0.1:56500 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:16:57 | uvicorn.access | INFO | 127.0.0.1:56971 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:19:54 | uvicorn.access | INFO | 127.0.0.1:57043 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:22:01 | uvicorn.access | INFO | 127.0.0.1:57433 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:24:12 | uvicorn.access | INFO | 127.0.0.1:57706 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:25:56 | uvicorn.access | INFO | 127.0.0.1:57764 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:29:22 | uvicorn.access | INFO | 127.0.0.1:58009 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:32:21 | uvicorn.access | INFO | 127.0.0.1:58449 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:33:11 | uvicorn.access | INFO | 127.0.0.1:58824 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:36:57 | uvicorn.access | INFO | 127.0.0.1:58912 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:38:21 | uvicorn.access | INFO | 127.0.0.1:59352 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:39:12 | uvicorn.access | INFO | 127.0.0.1:59510 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:39:36 | uvicorn.access | INFO | 127.0.0.1:59608 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:40:01 | uvicorn.access | INFO | 127.0.0.1:59646 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:40:25 | uvicorn.access | INFO | 127.0.0.1:59689 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:43:25 | uvicorn.access | INFO | 127.0.0.1:59729 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:43:51 | uvicorn.access | INFO | 127.0.0.1:60206 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:44:25 | uvicorn.access | INFO | 127.0.0.1:60254 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:45:06 | uvicorn.access | INFO | 127.0.0.1:60318 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:45:52 | uvicorn.access | INFO | 127.0.0.1:60371 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:47:55 | uvicorn.access | INFO | 127.0.0.1:60430 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:48:42 | uvicorn.access | INFO | 127.0.0.1:60492 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:48:57 | uvicorn.access | INFO | 127.0.0.1:60586 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:50:52 | uvicorn.access | INFO | 127.0.0.1:60605 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:52:05 | uvicorn.access | INFO | 127.0.0.1:60830 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:53:21 | uvicorn.access | INFO | 127.0.0.1:61015 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:53:51 | uvicorn.access | INFO | 127.0.0.1:61161 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:56:30 | uvicorn.access | INFO | 127.0.0.1:61219 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:57:01 | uvicorn.access | INFO | 127.0.0.1:61490 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:57:32 | uvicorn.access | INFO | 127.0.0.1:61545 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:57:49 | uvicorn.access | INFO | 127.0.0.1:61597 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 00:58:06 | uvicorn.access | INFO | 127.0.0.1:61627 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:01:34 | uvicorn.access | INFO | 127.0.0.1:61661 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:03:31 | uvicorn.access | INFO | 127.0.0.1:62025 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:03:54 | uvicorn.access | INFO | 127.0.0.1:62219 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:05:26 | uvicorn.access | INFO | 127.0.0.1:62262 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:07:26 | uvicorn.access | INFO | 127.0.0.1:62443 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:11:25 | uvicorn.access | INFO | 127.0.0.1:62682 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:12:02 | uvicorn.access | INFO | 127.0.0.1:63113 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:12:39 | uvicorn.access | INFO | 127.0.0.1:63185 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:13:30 | uvicorn.access | INFO | 127.0.0.1:63255 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:14:28 | uvicorn.access | INFO | 127.0.0.1:63313 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:15:02 | uvicorn.access | INFO | 127.0.0.1:63449 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:19:54 | uvicorn.access | INFO | 127.0.0.1:63516 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:23:22 | uvicorn.access | INFO | 127.0.0.1:63983 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:24:14 | uvicorn.access | INFO | 127.0.0.1:64421 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:24:50 | uvicorn.access | INFO | 127.0.0.1:64538 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:25:12 | uvicorn.access | INFO | 127.0.0.1:64588 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:25:33 | uvicorn.access | INFO | 127.0.0.1:64643 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:27:10 | uvicorn.access | INFO | 127.0.0.1:64679 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:28:42 | uvicorn.access | INFO | 127.0.0.1:64863 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:31:12 | uvicorn.access | INFO | 127.0.0.1:65000 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:35:21 | uvicorn.access | INFO | 127.0.0.1:65303 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:37:06 | uvicorn.access | INFO | 127.0.0.1:49295 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:38:34 | uvicorn.access | INFO | 127.0.0.1:49520 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:38:52 | uvicorn.access | INFO | 127.0.0.1:49598 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:43:03 | uvicorn.access | INFO | 127.0.0.1:49630 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:48:04 | uvicorn.access | INFO | 127.0.0.1:50079 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:48:56 | uvicorn.access | INFO | 127.0.0.1:50548 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:49:39 | uvicorn.access | INFO | 127.0.0.1:50626 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 01:50:00 | uvicorn.access | INFO | 127.0.0.1:50692 - "POST /api/v1/chat HTTP/1.1" 200
