2026-05-09 02:56:39 | uvicorn.error | INFO | Started server process [1792]
2026-05-09 02:56:39 | uvicorn.error | INFO | Waiting for application startup.
2026-05-09 02:56:39 | API | INFO | Application startup: LiveOS Brain API online
2026-05-09 02:56:39 | uvicorn.error | INFO | Application startup complete.
2026-05-09 02:56:51 | uvicorn.access | INFO | 127.0.0.1:54285 - "GET /api/v1/notes HTTP/1.1" 200
2026-05-09 03:00:08 | uvicorn.access | INFO | 127.0.0.1:54288 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:04:00 | uvicorn.access | INFO | 127.0.0.1:54457 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:15:42 | uvicorn.access | INFO | 127.0.0.1:54602 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:17:24 | uvicorn.access | INFO | 127.0.0.1:54894 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:19:41 | uvicorn.access | INFO | 127.0.0.1:54958 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:22:02 | uvicorn.access | INFO | 127.0.0.1:55014 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:23:53 | uvicorn.access | INFO | 127.0.0.1:55095 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:25:58 | uvicorn.access | INFO | 127.0.0.1:55142 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:27:39 | uvicorn.access | INFO | 127.0.0.1:55220 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:29:34 | uvicorn.access | INFO | 127.0.0.1:55281 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:31:56 | uvicorn.access | INFO | 127.0.0.1:55342 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:39:53 | uvicorn.access | INFO | 127.0.0.1:55429 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:44:01 | uvicorn.access | INFO | 127.0.0.1:55767 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:46:27 | uvicorn.access | INFO | 127.0.0.1:55890 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:48:37 | uvicorn.access | INFO | 127.0.0.1:55977 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:51:40 | uvicorn.access | INFO | 127.0.0.1:56049 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:54:24 | uvicorn.access | INFO | 127.0.0.1:56173 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:56:15 | uvicorn.access | INFO | 127.0.0.1:56261 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-09 03:59:29 | uvicorn.access | INFO | 127.0.0.1:56313 - "POST /api/v1/chat HTTP/1.1" 200
