2026-03-24 08:40:06 | uvicorn.error | INFO | Started server process [13840]
2026-03-24 08:40:06 | uvicorn.error | INFO | Waiting for application startup.
2026-03-24 08:40:06 | API | INFO | Application startup: LiveOS Brain API online
2026-03-24 08:40:06 | uvicorn.error | INFO | Application startup complete.
2026-03-24 08:40:09 | uvicorn.access | INFO | 127.0.0.1:53235 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:41:05 | uvicorn.access | INFO | 127.0.0.1:53367 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:41:49 | uvicorn.access | INFO | 127.0.0.1:53468 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:42:51 | uvicorn.access | INFO | 127.0.0.1:53592 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:44:01 | uvicorn.access | INFO | 127.0.0.1:53720 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:44:40 | uvicorn.access | INFO | 127.0.0.1:53764 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:45:22 | uvicorn.access | INFO | 127.0.0.1:53878 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:45:56 | uvicorn.access | INFO | 127.0.0.1:53929 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:46:28 | uvicorn.access | INFO | 127.0.0.1:53996 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:46:52 | uvicorn.access | INFO | 127.0.0.1:54023 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:47:42 | uvicorn.access | INFO | 127.0.0.1:54114 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:48:42 | uvicorn.access | INFO | 127.0.0.1:54184 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:49:36 | uvicorn.access | INFO | 127.0.0.1:54253 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:50:25 | uvicorn.access | INFO | 127.0.0.1:54317 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:51:10 | uvicorn.access | INFO | 127.0.0.1:54387 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:52:28 | uvicorn.access | INFO | 127.0.0.1:54506 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:53:03 | uvicorn.access | INFO | 127.0.0.1:54581 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:53:37 | uvicorn.access | INFO | 127.0.0.1:54646 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:54:51 | uvicorn.access | INFO | 127.0.0.1:54781 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:55:25 | uvicorn.access | INFO | 127.0.0.1:54852 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:56:02 | uvicorn.access | INFO | 127.0.0.1:54904 - "POST /api/v1/ingest HTTP/1.1" 200
2026-03-24 08:56:53 | uvicorn.access | INFO | 127.0.0.1:55019 - "POST /api/v1/ingest HTTP/1.1" 200
