2026-03-24 08:40:06 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5433/liveos to use asyncpg driver
2026-03-24 08:40:06 | DatabaseService | INFO | Async database engine created successfully
2026-03-24 08:40:06 | DatabaseService | INFO | Async session maker created successfully
2026-03-24 08:40:06 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-03-24 08:40:09 | DatabaseService | INFO | Creating new database session
2026-03-24 08:41:04 | DatabaseService | INFO | Closing database session
2026-03-24 08:41:04 | DatabaseService | INFO | Creating new database session
2026-03-24 08:41:49 | DatabaseService | INFO | Closing database session
2026-03-24 08:41:49 | DatabaseService | INFO | Creating new database session
2026-03-24 08:42:50 | DatabaseService | INFO | Closing database session
2026-03-24 08:42:50 | DatabaseService | INFO | Creating new database session
2026-03-24 08:44:01 | DatabaseService | INFO | Closing database session
2026-03-24 08:44:01 | DatabaseService | INFO | Creating new database session
2026-03-24 08:44:39 | DatabaseService | INFO | Closing database session
2026-03-24 08:44:40 | DatabaseService | INFO | Creating new database session
2026-03-24 08:45:22 | DatabaseService | INFO | Closing database session
2026-03-24 08:45:22 | DatabaseService | INFO | Creating new database session
2026-03-24 08:45:56 | DatabaseService | INFO | Closing database session
2026-03-24 08:45:56 | DatabaseService | INFO | Creating new database session
2026-03-24 08:46:27 | DatabaseService | INFO | Closing database session
2026-03-24 08:46:28 | DatabaseService | INFO | Creating new database session
2026-03-24 08:46:52 | DatabaseService | INFO | Closing database session
2026-03-24 08:46:52 | DatabaseService | INFO | Creating new database session
2026-03-24 08:47:42 | DatabaseService | INFO | Closing database session
2026-03-24 08:47:42 | DatabaseService | INFO | Creating new database session
2026-03-24 08:48:42 | DatabaseService | INFO | Closing database session
2026-03-24 08:48:42 | DatabaseService | INFO | Creating new database session
2026-03-24 08:49:35 | DatabaseService | INFO | Closing database session
2026-03-24 08:49:35 | DatabaseService | INFO | Creating new database session
2026-03-24 08:50:25 | DatabaseService | INFO | Closing database session
2026-03-24 08:50:25 | DatabaseService | INFO | Creating new database session
2026-03-24 08:51:09 | DatabaseService | INFO | Closing database session
2026-03-24 08:51:10 | DatabaseService | INFO | Creating new database session
2026-03-24 08:52:27 | DatabaseService | INFO | Closing database session
2026-03-24 08:52:28 | DatabaseService | INFO | Creating new database session
2026-03-24 08:53:03 | DatabaseService | INFO | Closing database session
2026-03-24 08:53:03 | DatabaseService | INFO | Creating new database session
2026-03-24 08:53:37 | DatabaseService | INFO | Closing database session
2026-03-24 08:53:37 | DatabaseService | INFO | Creating new database session
2026-03-24 08:54:51 | DatabaseService | INFO | Closing database session
2026-03-24 08:54:51 | DatabaseService | INFO | Creating new database session
2026-03-24 08:55:25 | DatabaseService | INFO | Closing database session
2026-03-24 08:55:25 | DatabaseService | INFO | Creating new database session
2026-03-24 08:56:02 | DatabaseService | INFO | Closing database session
2026-03-24 08:56:02 | DatabaseService | INFO | Creating new database session
2026-03-24 08:56:52 | DatabaseService | INFO | Closing database session
2026-03-24 08:56:53 | DatabaseService | INFO | Creating new database session
2026-03-24 08:57:31 | DatabaseService | INFO | Closing database session
2026-03-24 08:57:32 | DatabaseService | INFO | Creating new database session
2026-03-24 08:58:35 | DatabaseService | INFO | Closing database session
2026-03-24 08:58:36 | DatabaseService | INFO | Creating new database session
2026-03-24 08:59:13 | DatabaseService | INFO | Closing database session
2026-03-24 08:59:14 | DatabaseService | INFO | Creating new database session
2026-03-24 08:59:54 | DatabaseService | INFO | Closing database session
2026-03-24 08:59:54 | DatabaseService | INFO | Creating new database session
2026-03-24 09:00:45 | DatabaseService | INFO | Closing database session
2026-03-24 09:00:45 | DatabaseService | INFO | Creating new database session
2026-03-24 09:01:18 | DatabaseService | INFO | Closing database session
2026-03-24 09:01:18 | DatabaseService | INFO | Creating new database session
2026-03-24 09:02:08 | DatabaseService | INFO | Closing database session
2026-03-24 09:02:08 | DatabaseService | INFO | Creating new database session
2026-03-24 09:02:29 | DatabaseService | INFO | Closing database session
2026-03-24 09:02:29 | DatabaseService | INFO | Creating new database session
2026-03-24 09:02:55 | DatabaseService | INFO | Closing database session
2026-03-24 09:02:55 | DatabaseService | INFO | Creating new database session
2026-03-24 09:03:29 | DatabaseService | INFO | Closing database session
2026-03-24 09:03:30 | DatabaseService | INFO | Creating new database session
2026-03-24 09:04:44 | DatabaseService | INFO | Closing database session
2026-03-24 09:04:45 | DatabaseService | INFO | Creating new database session
2026-03-24 09:06:07 | DatabaseService | INFO | Closing database session
2026-03-24 09:06:07 | DatabaseService | INFO | Creating new database session
2026-03-24 09:07:10 | DatabaseService | INFO | Closing database session
2026-03-24 09:07:11 | DatabaseService | INFO | Creating new database session
2026-03-24 09:07:47 | DatabaseService | INFO | Closing database session
2026-03-24 09:07:48 | DatabaseService | INFO | Creating new database session
2026-03-24 09:08:37 | DatabaseService | INFO | Closing database session
2026-03-24 09:08:38 | DatabaseService | INFO | Creating new database session
2026-03-24 09:08:55 | DatabaseService | INFO | Closing database session
2026-03-24 09:08:56 | DatabaseService | INFO | Creating new database session
2026-03-24 09:09:50 | DatabaseService | INFO | Closing database session
2026-03-24 09:09:50 | DatabaseService | INFO | Creating new database session
2026-03-24 09:10:20 | DatabaseService | INFO | Closing database session
2026-03-24 09:10:20 | DatabaseService | INFO | Creating new database session
2026-03-24 09:10:40 | DatabaseService | INFO | Closing database session
2026-03-24 09:10:40 | DatabaseService | INFO | Creating new database session
2026-03-24 09:11:24 | DatabaseService | INFO | Closing database session
2026-03-24 09:11:25 | DatabaseService | INFO | Creating new database session
2026-03-24 09:11:39 | DatabaseService | INFO | Closing database session
2026-03-24 09:11:39 | DatabaseService | INFO | Creating new database session
2026-03-24 09:12:06 | DatabaseService | INFO | Closing database session
2026-03-24 09:12:06 | DatabaseService | INFO | Creating new database session
2026-03-24 09:12:50 | DatabaseService | INFO | Closing database session
2026-03-24 09:12:50 | DatabaseService | INFO | Creating new database session
2026-03-24 09:13:14 | DatabaseService | INFO | Closing database session
2026-03-24 09:13:15 | DatabaseService | INFO | Creating new database session
2026-03-24 09:13:41 | DatabaseService | INFO | Closing database session
2026-03-24 09:13:41 | DatabaseService | INFO | Creating new database session
2026-03-24 09:14:14 | DatabaseService | INFO | Closing database session
2026-03-24 09:14:14 | DatabaseService | INFO | Creating new database session
2026-03-24 09:14:29 | DatabaseService | INFO | Closing database session
