2026-03-10 09:55:58 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[Entity(name='Alamein Memorial', type='Work', importance=0.5, isolated_context='The Alamein Memorial is a Commonwealth War Graves Commission war memorial in the El Alamein War Cemetery, El Alamein, Egypt. The memorial commemorates 11,866 Commonwealth forces members who died during World War II. The memorial was designed by Hubert Worthington and unveiled by Viscount Montgomery of Alamein on 24 October 1954.'), Entity(name='El Alamein War Cemetery', type='Place', importance=0.5, isolated_context='The Alamein Memorial is in the El Alamein War Cemetery, El Alamein, Egypt.'), Entity(name='El Alamein', type='Place', importance=0.5, isolated_context='El Alamein, Egypt.'), Entity(name='Egypt', type='Place', importance=0.5, isolated_context='Egypt.'), Entity(name='Commonwealth War Graves Commission', type='Organization', importance=0.5, isolated_context='The Alamein Memorial is a Commonwealth War Graves Commission war memorial...'), Entity(name='World War II', type='Event', importance=0.5, isolated_context='who died during World War II.'), Entity(name='Hubert Worthington', type='Person', importance=0.5, isolated_context='The memorial was designed by Hubert Worthington...'), Entity(name='Viscount Montgomery of Alamein', type='Person', importance=0.5, isolated_context='unveiled by Viscount Montgomery of Alamein on 24 October 1954.')] concepts=[Concept(name='World War II', definition='', isolated_context=''), Concept(name='War Memorial', definition='', isolated_context=''), Concept(name='Commonwealth War Graves Commission', definition='', isolated_context='')] tasks=[] persona_traits=[] references=[] relationships=[ExtractedRelationship(source_name='Alamein Memorial', source_type='Work', target_name='El Alamein War Cemetery', target_type='Place', relationship_type='located_in', confidence=0.99, context='The Alamein Memorial is in the El Alamein War Cemetery, El Alamein, Egypt.'), ExtractedRelationship(source_name='Alamein Memorial', source_type='Work', target_name='Commonwealth War Graves Commission', target_type='Organization', relationship_type='part_of', confidence=0.99, context='The Alamein Memorial is a Commonwealth War Graves Commission war memorial...'), ExtractedRelationship(source_name='Alamein Memorial', source_type='Work', target_name='World War II', target_type='Event', relationship_type='occurred_during', confidence=0.99, context='who died during World War II.'), ExtractedRelationship(source_name='Alamein Memorial', source_type='Work', target_name='Hubert Worthington', target_type='Person', relationship_type='designed_by', confidence=0.99, context='The memorial was designed by Hubert Worthington...'), ExtractedRelationship(source_name='Alamein Memorial', source_type='Work', target_name='Viscount Montgomery of Alamein', target_type='Person', relationship_type='unveiled_by', confidence=0.99, context='unveiled by Viscount Montgomery of Alamein on 24 October 1954.')] sentiment='Neutral'
2026-03-10 09:55:58 | IngestionPipeline | INFO | Extracted: 8 entities, 3 concepts, 0 references.
2026-03-10 09:55:58 | IngestionPipeline | INFO | Domain: Personal
2026-03-10 09:55:58 | IngestionPipeline | INFO | Note complexity upgraded: 11 entities+concepts extracted
2026-03-10 09:55:58 | IngestionPipeline | INFO | Extraction took: 42.5765s
2026-03-10 09:55:58 | IngestionPipeline | INFO | [Agent] Refinement (Reasoning) triggered...
2026-03-10 09:56:04 | IngestionPipeline | INFO |   [Refiner] 🛠️ Patched Extraction: Added 1 new entities.
2026-03-10 09:56:04 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'Alamein Memorial'
2026-03-10 09:56:10 | IngestionPipeline | INFO | [Ingestion] Creating 5 relationships...
2026-03-10 09:56:10 | IngestionPipeline | INFO | [Relationship] created: (alamein memorial)-[located_in]->(el alamein war cemetery)
2026-03-10 09:56:10 | IngestionPipeline | INFO | [Relationship] created: (alamein memorial)-[part_of]->(commonwealth war graves commission)
2026-03-10 09:56:10 | IngestionPipeline | INFO | [Relationship] created: (alamein memorial)-[occurred_during]->(world war ii)
2026-03-10 09:56:10 | IngestionPipeline | INFO | [Relationship] created: (alamein memorial)-[designed_by]->(hubert worthington)
2026-03-10 09:56:10 | IngestionPipeline | INFO | [Relationship] created: (alamein memorial)-[unveiled_by]->(viscount montgomery of alamein)
2026-03-10 09:56:13 | IngestionPipeline | INFO | [Community] Creating new community 'Alamein Memorial: Commonwealth War Graves Remembrance' for 12 nodes
2026-03-10 09:56:13 | IngestionPipeline | INFO | [Community] Assigned 12 nodes to 'Alamein Memorial: Commonwealth War Graves Remembrance'
2026-03-10 09:56:17 | IngestionPipeline | INFO | [Community] Updated summary and embedding for 'Alamein Memorial: Commonwealth War Graves Remembrance'
2026-03-10 09:56:18 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note 7a8050ea-49de-467e-b249-61de2bb37459: 'Alamein Memorial'
2026-03-10 09:56:18 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note 7a8050ea-49de-467e-b249-61de2bb37459: 'Personal'
2026-03-10 09:56:18 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 13.3160s
2026-03-10 09:56:18 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-03-10 09:56:18 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-03-10 10:01:33 | IngestionPipeline | INFO |   [Ingestion] Extracted 2 atomic facts for Entity: 1954
2026-03-10 10:01:33 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 2 context(s) for Entity: 1954
2026-03-10 10:01:36 | IngestionPipeline | INFO |   [Ingestion] Extracted 1 atomic facts for Entity: hubert worthington
2026-03-10 10:01:36 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: hubert worthington
2026-03-10 10:01:37 | IngestionPipeline | INFO |   Summary updated for Entity: 1954 (Title: 1954: Meet Corliss Archer)
2026-03-10 10:01:37 | IngestionPipeline | INFO |   Summary updated for Entity: hubert worthington (Title: Hubert Worthington Memorial)
2026-03-10 10:01:48 | IngestionPipeline | INFO |   [Ingestion] Extracted 6 atomic facts for Concept: war memorial
2026-03-10 10:01:48 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 6 context(s) for Concept: war memorial
2026-03-10 10:01:50 | IngestionPipeline | INFO |   Summary updated for Concept: war memorial (Title: Commonwealth War Memorials)
2026-03-10 10:06:33 | IngestionPipeline | INFO |   [Ingestion] Extracted 2 atomic facts for Entity: viscount montgomery of alamein
2026-03-10 10:06:33 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: viscount montgomery of alamein
2026-03-10 10:06:34 | IngestionPipeline | INFO |   Summary updated for Entity: viscount montgomery of alamein (Title: Viscount Montgomery of Alamein)
2026-03-10 10:11:27 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 4 context(s) for Entity: commonwealth war graves commission
2026-03-10 10:11:28 | IngestionPipeline | INFO |   Summary updated for Entity: commonwealth war graves commission (Title: Commonwealth War Graves Commission)
2026-03-10 10:11:29 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: egypt
2026-03-10 10:11:30 | IngestionPipeline | INFO |   Summary updated for Entity: egypt (Title: Egypt)
2026-03-10 10:11:33 | IngestionPipeline | INFO |   [Ingestion] Extracted 2 atomic facts for Entity: el alamein
2026-03-10 10:11:33 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: el alamein
2026-03-10 10:11:35 | IngestionPipeline | INFO |   Summary updated for Entity: el alamein (Title: El Alamein, Egypt)
2026-03-10 10:11:44 | IngestionPipeline | INFO |   [Ingestion] Extracted 6 atomic facts for Concept: commonwealth war graves commission
2026-03-10 10:11:44 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 2 context(s) for Concept: commonwealth war graves commission
2026-03-10 10:11:46 | IngestionPipeline | INFO |   Summary updated for Concept: commonwealth war graves commission (Title: Commonwealth War Graves Commission)
2026-03-10 10:11:56 | IngestionPipeline | INFO |   [Ingestion] Extracted 7 atomic facts for Entity: world war ii
2026-03-10 10:11:56 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 15 context(s) for Entity: world war ii
2026-03-10 10:11:57 | IngestionPipeline | INFO |   Summary updated for Entity: world war ii (Title: World War II)
2026-03-10 10:12:02 | IngestionPipeline | INFO |   [Ingestion] Extracted 3 atomic facts for Entity: el alamein war cemetery
2026-03-10 10:12:02 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: el alamein war cemetery
2026-03-10 10:12:03 | IngestionPipeline | INFO |   Summary updated for Entity: el alamein war cemetery (Title: el alamein war cemetery)
2026-03-10 10:12:13 | IngestionPipeline | INFO |   [Ingestion] Extracted 8 atomic facts for Entity: alamein memorial
2026-03-10 10:12:13 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: alamein memorial
2026-03-10 10:12:14 | IngestionPipeline | INFO |   Summary updated for Entity: alamein memorial (Title: alamein memorial)
2026-03-10 10:12:28 | IngestionPipeline | INFO |   [Ingestion] Extracted 7 atomic facts for Concept: world war ii
2026-03-10 10:12:28 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 13 context(s) for Concept: world war ii
2026-03-10 10:12:29 | IngestionPipeline | INFO |   Summary updated for Concept: world war ii (Title: world war ii)
2026-03-10 10:12:29 | IngestionPipeline | INFO |   [Perf] Summarization took: 971.5885s
2026-03-10 10:12:29 | IngestionPipeline | INFO | [Ingestion] Marked Note 7a8050ea-49de-467e-b249-61de2bb37459 as Processed.
2026-03-10 10:12:29 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 1033.6948s
2026-03-10 10:12:29 | IngestionPipeline | INFO | [2026-03-10 10:12:29.784951] SUCCESS: Note 7a8050ea-49de-467e-b249-61de2bb37459 fully indexed in 1033.69s.
2026-03-10 12:26:26 | IngestionPipeline | INFO | [2026-03-10 12:26:26.253032] START: Ingesting Note 55e27b64-c9f6-4fb5-bc14-a56d20485fae
2026-03-10 12:26:26 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-03-10 12:26:26 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-03-10 12:26:26 | IngestionPipeline | INFO | Multimedia processing took: 0.0006s
2026-03-10 12:26:26 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-03-10 12:26:41 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[Entity(name='28th Independent Spirit Awards', type='Event', importance=0.5, isolated_context='The 2012 Independent Spirit Awards was the 28th annual occasion of the Film Independent Spirit Awards.'), Entity(name='Film Independent Spirit Awards', type='Organization', importance=0.5, isolated_context='The 2012 Independent Spirit Awards was the 28th annual occasion of the Film Independent Spirit Awards.'), Entity(name='Andy Samberg', type='Person', importance=0.5, isolated_context='The winners were announced on February 23, 2013 during an awards ceremony hosted by Andy Samberg.')] concepts=[Concept(name='Film Awards', definition='', isolated_context='')] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-03-10 12:26:41 | IngestionPipeline | INFO | Filtered/Renamed Entities: ['28th Independent Spirit Awards', 'Film Independent Spirit Awards', 'Andy Samberg']
2026-03-10 12:26:41 | IngestionPipeline | INFO | Filtered/Renamed Concepts: ['Film Awards']
2026-03-10 12:26:41 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[Entity(name='28th Independent Spirit Awards', type='Event', importance=0.5, isolated_context='The 2012 Independent Spirit Awards was the 28th annual occasion of the Film Independent Spirit Awards.'), Entity(name='Film Independent Spirit Awards', type='Organization', importance=0.5, isolated_context='The 2012 Independent Spirit Awards was the 28th annual occasion of the Film Independent Spirit Awards.'), Entity(name='Andy Samberg', type='Person', importance=0.5, isolated_context='The winners were announced on February 23, 2013 during an awards ceremony hosted by Andy Samberg.')] concepts=[Concept(name='Film Awards', definition='', isolated_context='')] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-03-10 12:26:41 | IngestionPipeline | INFO | Extracted: 3 entities, 1 concepts, 0 references.
2026-03-10 12:26:41 | IngestionPipeline | INFO | Domain: Personal
2026-03-10 12:26:41 | IngestionPipeline | INFO | Extraction took: 15.0656s
2026-03-10 12:26:41 | IngestionPipeline | INFO | [Ingestion] Using provided title: '28th Independent Spirit Awards'
2026-03-10 12:26:48 | IngestionPipeline | INFO | [Community] Merging 4 nodes into existing '32nd Independent Spirit Awards Ceremony Details' (score=0.78, topic='2012 Independent Spirit Awards Ceremony')
2026-03-10 12:26:48 | IngestionPipeline | INFO | [Community] Assigned 4 nodes to '32nd Independent Spirit Awards Ceremony Details'
2026-03-10 12:26:50 | IngestionPipeline | INFO | [Community] Updated summary and embedding for '32nd Independent Spirit Awards Ceremony Details'
2026-03-10 12:26:50 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note 55e27b64-c9f6-4fb5-bc14-a56d20485fae: '28th Independent Spirit Awards'
