2026-03-07 15:30:44 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-03-07 15:30:44 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434/v1)
2026-03-07 15:30:49 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:31:45 | LLMService | INFO | [Ollama] Raw extraction: 12 entities, 5 concepts
2026-03-07 15:31:45 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:31:51 | LLMService | INFO | [Ollama] Raw extraction: 8 entities, 5 concepts
2026-03-07 15:31:57 | LLMService | INFO | [Embedding] Provider: ollama | URL: http://localhost:11434/v1 | Model: qwen3-embedding:0.6b
2026-03-07 15:34:56 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:35:22 | LLMService | INFO | [Ollama] Raw extraction: 11 entities, 3 concepts
2026-03-07 15:35:22 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:35:27 | LLMService | INFO | [Ollama] Raw extraction: 11 entities, 3 concepts
2026-03-07 15:37:23 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:38:15 | LLMService | INFO | [Ollama] Raw extraction: 8 entities, 2 concepts
2026-03-07 15:38:15 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:38:20 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 2 concepts
2026-03-07 15:40:35 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:41:22 | LLMService | INFO | [Ollama] Raw extraction: 15 entities, 4 concepts
2026-03-07 15:41:22 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:41:27 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 4 concepts
2026-03-07 15:45:17 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:45:26 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 0 concepts
2026-03-07 15:45:41 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:46:53 | LLMService | INFO | [Ollama] Raw extraction: 11 entities, 3 concepts
2026-03-07 15:46:53 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:46:56 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 0 concepts
2026-03-07 15:50:03 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:50:17 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 2 concepts
2026-03-07 15:50:17 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:50:20 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 2 concepts
2026-03-07 15:51:20 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:51:56 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 3 concepts
2026-03-07 15:51:56 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:52:02 | LLMService | INFO | [Ollama] Raw extraction: 7 entities, 3 concepts
2026-03-07 15:54:00 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:54:17 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 2 concepts
2026-03-07 15:54:17 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:54:21 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 2 concepts
2026-03-07 15:55:36 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:56:14 | LLMService | INFO | [Ollama] Raw extraction: 10 entities, 3 concepts
2026-03-07 15:56:14 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:56:17 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 3 concepts
2026-03-07 15:58:34 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:59:09 | LLMService | INFO | [Ollama] Raw extraction: 11 entities, 3 concepts
2026-03-07 15:59:09 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 15:59:14 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 3 concepts
2026-03-07 16:01:36 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:02:04 | LLMService | INFO | [Ollama] Raw extraction: 9 entities, 3 concepts
2026-03-07 16:02:04 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:02:11 | LLMService | INFO | [Ollama] Raw extraction: 13 entities, 3 concepts
2026-03-07 16:04:38 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:04:56 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 3 concepts
2026-03-07 16:04:56 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:05:01 | LLMService | INFO | [Ollama] Raw extraction: 7 entities, 3 concepts
2026-03-07 16:06:27 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:06:50 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 1 concepts
2026-03-07 16:06:50 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:06:54 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 1 concepts
2026-03-07 16:07:47 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:08:18 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 3 concepts
2026-03-07 16:08:18 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:08:23 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 3 concepts
2026-03-07 16:09:53 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:10:14 | LLMService | INFO | [Ollama] Raw extraction: 7 entities, 2 concepts
2026-03-07 16:10:14 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:10:18 | LLMService | INFO | [Ollama] Raw extraction: 7 entities, 2 concepts
2026-03-07 16:11:33 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:12:33 | LLMService | INFO | [Ollama] Raw extraction: 11 entities, 4 concepts
2026-03-07 16:12:33 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:12:40 | LLMService | INFO | [Ollama] Raw extraction: 15 entities, 4 concepts
2026-03-07 16:15:58 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:16:31 | LLMService | INFO | [Ollama] Raw extraction: 10 entities, 4 concepts
2026-03-07 16:16:31 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:16:34 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 0 concepts
2026-03-07 16:19:10 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-07 16:20:06 | LLMService | INFO | [Ollama] Raw extraction: 11 entities, 3 concepts
