2026-03-11 13:34:08 | uvicorn.error | INFO | Started server process [55002]
2026-03-11 13:34:08 | uvicorn.error | INFO | Waiting for application startup.
2026-03-11 13:34:08 | API | INFO | Application startup: LiveOS Brain API online
2026-03-11 13:34:08 | uvicorn.error | INFO | Application startup complete.
2026-03-11 13:35:04 | uvicorn.access | INFO | 127.0.0.1:60545 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:35:31 | uvicorn.access | INFO | 127.0.0.1:60610 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:36:43 | uvicorn.access | INFO | 127.0.0.1:60646 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:37:38 | uvicorn.access | INFO | 127.0.0.1:60732 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:38:05 | uvicorn.access | INFO | 127.0.0.1:60756 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:38:28 | uvicorn.access | INFO | 127.0.0.1:60762 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:38:46 | uvicorn.access | INFO | 127.0.0.1:60807 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:39:09 | uvicorn.access | INFO | 127.0.0.1:60815 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:39:29 | uvicorn.access | INFO | 127.0.0.1:60823 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:39:52 | uvicorn.access | INFO | 127.0.0.1:60835 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:40:13 | uvicorn.access | INFO | 127.0.0.1:60842 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:40:41 | uvicorn.access | INFO | 127.0.0.1:60855 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:41:15 | uvicorn.access | INFO | 127.0.0.1:60907 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:41:40 | uvicorn.access | INFO | 127.0.0.1:60925 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:42:09 | uvicorn.access | INFO | 127.0.0.1:60942 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:42:47 | uvicorn.access | INFO | 127.0.0.1:60969 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:43:15 | uvicorn.access | INFO | 127.0.0.1:60992 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:43:38 | uvicorn.access | INFO | 127.0.0.1:61007 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:44:02 | uvicorn.access | INFO | 127.0.0.1:61015 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:44:24 | uvicorn.access | INFO | 127.0.0.1:61019 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:44:56 | uvicorn.access | INFO | 127.0.0.1:61023 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:45:48 | uvicorn.access | INFO | 127.0.0.1:61057 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:46:15 | uvicorn.access | INFO | 127.0.0.1:61078 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:46:51 | uvicorn.access | INFO | 127.0.0.1:61094 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:47:18 | uvicorn.access | INFO | 127.0.0.1:61115 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:47:51 | uvicorn.access | INFO | 127.0.0.1:61127 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:48:21 | uvicorn.access | INFO | 127.0.0.1:61137 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:48:48 | uvicorn.access | INFO | 127.0.0.1:61148 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:49:13 | uvicorn.access | INFO | 127.0.0.1:61187 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:49:40 | uvicorn.access | INFO | 127.0.0.1:61210 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:50:05 | uvicorn.access | INFO | 127.0.0.1:61227 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:50:29 | uvicorn.access | INFO | 127.0.0.1:61233 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:50:52 | uvicorn.access | INFO | 127.0.0.1:61256 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:52:02 | uvicorn.access | INFO | 127.0.0.1:61266 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:52:23 | uvicorn.access | INFO | 127.0.0.1:61326 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:52:55 | uvicorn.access | INFO | 127.0.0.1:61342 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:53:20 | uvicorn.access | INFO | 127.0.0.1:61361 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:53:46 | uvicorn.access | INFO | 127.0.0.1:61369 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:54:36 | uvicorn.access | INFO | 127.0.0.1:61402 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:54:58 | uvicorn.access | INFO | 127.0.0.1:61427 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:55:28 | uvicorn.access | INFO | 127.0.0.1:61442 - "POST /api/v1/chat HTTP/1.1" 200
2026-03-11 13:55:47 | uvicorn.access | INFO | 127.0.0.1:61448 - "POST /api/v1/chat HTTP/1.1" 200
