2026-02-25 05:27:49 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5434/liveos to use asyncpg driver
2026-02-25 05:27:49 | DatabaseService | INFO | Async database engine created successfully
2026-02-25 05:27:49 | DatabaseService | INFO | Async session maker created successfully
2026-02-25 05:27:49 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-25 05:28:05 | DatabaseService | INFO | Creating new database session
2026-02-25 05:28:54 | DatabaseService | INFO | Closing database session
2026-02-25 05:28:54 | DatabaseService | INFO | Creating new database session
2026-02-25 05:29:26 | DatabaseService | INFO | Closing database session
2026-02-25 05:29:27 | DatabaseService | INFO | Creating new database session
2026-02-25 05:29:53 | DatabaseService | INFO | Closing database session
2026-02-25 05:29:53 | DatabaseService | INFO | Creating new database session
2026-02-25 05:30:25 | DatabaseService | INFO | Closing database session
2026-02-25 05:30:25 | DatabaseService | INFO | Creating new database session
2026-02-25 05:30:43 | DatabaseService | INFO | Closing database session
2026-02-25 05:30:43 | DatabaseService | INFO | Creating new database session
2026-02-25 05:31:19 | DatabaseService | INFO | Closing database session
2026-02-25 05:31:19 | DatabaseService | INFO | Creating new database session
2026-02-25 05:31:39 | DatabaseService | INFO | Closing database session
2026-02-25 05:31:39 | DatabaseService | INFO | Creating new database session
2026-02-25 05:32:07 | DatabaseService | INFO | Closing database session
2026-02-25 05:32:07 | DatabaseService | INFO | Creating new database session
2026-02-25 05:32:29 | DatabaseService | INFO | Closing database session
2026-02-25 05:32:29 | DatabaseService | INFO | Creating new database session
2026-02-25 05:32:54 | DatabaseService | INFO | Closing database session
2026-02-25 05:32:55 | DatabaseService | INFO | Creating new database session
2026-02-25 05:33:15 | DatabaseService | INFO | Closing database session
2026-02-25 05:33:16 | DatabaseService | INFO | Creating new database session
2026-02-25 05:33:51 | DatabaseService | INFO | Closing database session
2026-02-25 05:33:52 | DatabaseService | INFO | Creating new database session
2026-02-25 05:34:22 | DatabaseService | INFO | Closing database session
2026-02-25 05:34:23 | DatabaseService | INFO | Creating new database session
2026-02-25 05:35:03 | DatabaseService | INFO | Closing database session
2026-02-25 05:35:03 | DatabaseService | INFO | Creating new database session
2026-02-25 05:35:34 | DatabaseService | INFO | Closing database session
2026-02-25 05:35:35 | DatabaseService | INFO | Creating new database session
2026-02-25 05:36:01 | DatabaseService | INFO | Closing database session
2026-02-25 05:36:01 | DatabaseService | INFO | Creating new database session
2026-02-25 05:36:33 | DatabaseService | INFO | Closing database session
2026-02-25 05:36:33 | DatabaseService | INFO | Creating new database session
2026-02-25 05:37:04 | DatabaseService | INFO | Closing database session
2026-02-25 05:37:04 | DatabaseService | INFO | Creating new database session
2026-02-25 05:37:31 | DatabaseService | INFO | Closing database session
2026-02-25 05:37:31 | DatabaseService | INFO | Creating new database session
2026-02-25 05:37:59 | DatabaseService | INFO | Closing database session
2026-02-25 05:37:59 | DatabaseService | INFO | Creating new database session
2026-02-25 05:38:25 | DatabaseService | INFO | Closing database session
2026-02-25 05:38:25 | DatabaseService | INFO | Creating new database session
2026-02-25 05:38:48 | DatabaseService | INFO | Closing database session
2026-02-25 05:38:48 | DatabaseService | INFO | Creating new database session
2026-02-25 05:39:23 | DatabaseService | INFO | Closing database session
2026-02-25 05:39:32 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5434/liveos to use asyncpg driver
2026-02-25 05:39:32 | DatabaseService | INFO | Async database engine created successfully
2026-02-25 05:39:32 | DatabaseService | INFO | Async session maker created successfully
2026-02-25 05:39:32 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-25 05:39:32 | DatabaseService | INFO | Creating new database session
2026-02-25 05:40:03 | DatabaseService | INFO | Closing database session
2026-02-25 05:40:03 | DatabaseService | INFO | Creating new database session
2026-02-25 05:40:37 | DatabaseService | INFO | Closing database session
2026-02-25 05:40:37 | DatabaseService | INFO | Creating new database session
2026-02-25 05:41:17 | DatabaseService | INFO | Closing database session
2026-02-25 05:41:17 | DatabaseService | INFO | Creating new database session
2026-02-25 05:41:44 | DatabaseService | INFO | Closing database session
2026-02-25 05:41:45 | DatabaseService | INFO | Creating new database session
2026-02-25 05:42:13 | DatabaseService | INFO | Closing database session
2026-02-25 05:42:14 | DatabaseService | INFO | Creating new database session
2026-02-25 05:42:38 | DatabaseService | INFO | Closing database session
2026-02-25 05:42:39 | DatabaseService | INFO | Creating new database session
2026-02-25 05:43:06 | DatabaseService | INFO | Closing database session
2026-02-25 05:43:06 | DatabaseService | INFO | Creating new database session
2026-02-25 05:43:33 | DatabaseService | INFO | Closing database session
2026-02-25 05:43:34 | DatabaseService | INFO | Creating new database session
2026-02-25 05:44:05 | DatabaseService | INFO | Closing database session
2026-02-25 05:44:06 | DatabaseService | INFO | Creating new database session
2026-02-25 05:44:42 | DatabaseService | INFO | Closing database session
2026-02-25 05:44:50 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5434/liveos to use asyncpg driver
2026-02-25 05:44:50 | DatabaseService | INFO | Async database engine created successfully
2026-02-25 05:44:50 | DatabaseService | INFO | Async session maker created successfully
2026-02-25 05:44:50 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-25 05:44:50 | DatabaseService | INFO | Creating new database session
2026-02-25 05:45:35 | DatabaseService | INFO | Closing database session
2026-02-25 05:45:36 | DatabaseService | INFO | Creating new database session
2026-02-25 05:46:04 | DatabaseService | INFO | Closing database session
2026-02-25 05:46:05 | DatabaseService | INFO | Creating new database session
2026-02-25 05:46:43 | DatabaseService | INFO | Closing database session
2026-02-25 05:46:50 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5434/liveos to use asyncpg driver
2026-02-25 05:46:50 | DatabaseService | INFO | Async database engine created successfully
2026-02-25 05:46:50 | DatabaseService | INFO | Async session maker created successfully
2026-02-25 05:46:50 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-25 05:46:50 | DatabaseService | INFO | Creating new database session
2026-02-25 05:47:12 | DatabaseService | INFO | Closing database session
2026-02-25 05:47:13 | DatabaseService | INFO | Creating new database session
2026-02-25 05:47:47 | DatabaseService | INFO | Closing database session
2026-02-25 05:47:47 | DatabaseService | INFO | Creating new database session
2026-02-25 05:48:18 | DatabaseService | INFO | Closing database session
2026-02-25 05:48:18 | DatabaseService | INFO | Creating new database session
2026-02-25 05:48:48 | DatabaseService | INFO | Closing database session
2026-02-25 05:48:48 | DatabaseService | INFO | Creating new database session
2026-02-25 05:49:18 | DatabaseService | INFO | Closing database session
2026-02-25 05:49:18 | DatabaseService | INFO | Creating new database session
2026-02-25 05:49:35 | DatabaseService | INFO | Closing database session
2026-02-25 05:49:36 | DatabaseService | INFO | Creating new database session
2026-02-25 05:50:09 | DatabaseService | INFO | Closing database session
2026-02-25 05:50:10 | DatabaseService | INFO | Creating new database session
2026-02-25 05:50:40 | DatabaseService | INFO | Closing database session
2026-02-25 05:50:40 | DatabaseService | INFO | Creating new database session
2026-02-25 05:51:09 | DatabaseService | INFO | Closing database session
2026-02-25 05:51:15 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5434/liveos to use asyncpg driver
2026-02-25 05:51:15 | DatabaseService | INFO | Async database engine created successfully
2026-02-25 05:51:15 | DatabaseService | INFO | Async session maker created successfully
2026-02-25 05:51:15 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-25 05:51:15 | DatabaseService | INFO | Creating new database session
2026-02-25 05:51:43 | DatabaseService | INFO | Closing database session
2026-02-25 05:51:43 | DatabaseService | INFO | Creating new database session
2026-02-25 05:52:19 | DatabaseService | INFO | Closing database session
2026-02-25 05:52:20 | DatabaseService | INFO | Creating new database session
2026-02-25 05:52:38 | DatabaseService | INFO | Closing database session
2026-02-25 05:52:39 | DatabaseService | INFO | Creating new database session
2026-02-25 05:53:07 | DatabaseService | INFO | Closing database session
2026-02-25 05:53:07 | DatabaseService | INFO | Creating new database session
2026-02-25 05:53:48 | DatabaseService | INFO | Closing database session
2026-02-25 05:53:56 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5434/liveos to use asyncpg driver
2026-02-25 05:53:56 | DatabaseService | INFO | Async database engine created successfully
2026-02-25 05:53:56 | DatabaseService | INFO | Async session maker created successfully
2026-02-25 05:53:56 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-25 05:53:56 | DatabaseService | INFO | Creating new database session
2026-02-25 05:54:23 | DatabaseService | INFO | Closing database session
2026-02-25 05:54:23 | DatabaseService | INFO | Creating new database session
2026-02-25 05:54:51 | DatabaseService | INFO | Closing database session
2026-02-25 05:54:51 | DatabaseService | INFO | Creating new database session
2026-02-25 05:55:25 | DatabaseService | INFO | Closing database session
2026-02-25 05:55:25 | DatabaseService | INFO | Creating new database session
2026-02-25 05:55:52 | DatabaseService | INFO | Closing database session
2026-02-25 05:55:53 | DatabaseService | INFO | Creating new database session
2026-02-25 05:56:22 | DatabaseService | INFO | Closing database session
2026-02-25 05:56:22 | DatabaseService | INFO | Creating new database session
2026-02-25 05:56:41 | DatabaseService | INFO | Closing database session
2026-02-25 05:56:42 | DatabaseService | INFO | Creating new database session
2026-02-25 05:57:06 | DatabaseService | INFO | Closing database session
2026-02-25 05:57:06 | DatabaseService | INFO | Creating new database session
2026-02-25 05:57:32 | DatabaseService | INFO | Closing database session
2026-02-25 05:57:32 | DatabaseService | INFO | Creating new database session
2026-02-25 05:57:58 | DatabaseService | INFO | Closing database session
2026-02-25 05:57:58 | DatabaseService | INFO | Creating new database session
2026-02-25 05:58:38 | DatabaseService | INFO | Closing database session
2026-02-25 05:58:38 | DatabaseService | INFO | Creating new database session
2026-02-25 05:59:13 | DatabaseService | INFO | Closing database session
2026-02-25 05:59:14 | DatabaseService | INFO | Creating new database session
2026-02-25 05:59:48 | DatabaseService | INFO | Closing database session
2026-02-25 05:59:49 | DatabaseService | INFO | Creating new database session
2026-02-25 06:00:09 | DatabaseService | INFO | Closing database session
2026-02-25 06:00:09 | DatabaseService | INFO | Creating new database session
2026-02-25 06:00:58 | DatabaseService | INFO | Closing database session
2026-02-25 06:00:59 | DatabaseService | INFO | Creating new database session
2026-02-25 06:01:25 | DatabaseService | INFO | Closing database session
2026-02-25 06:01:25 | DatabaseService | INFO | Creating new database session
2026-02-25 06:01:56 | DatabaseService | INFO | Closing database session
2026-02-25 06:01:57 | DatabaseService | INFO | Creating new database session
2026-02-25 06:02:25 | DatabaseService | INFO | Closing database session
