2026-02-25 05:27:46 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-02-25 05:27:46 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-02-25 05:28:06 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:28:14 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:28:54 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:29:02 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:29:27 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:29:34 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:29:53 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:30:03 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:30:25 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:30:43 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:30:53 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:31:19 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:31:39 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:31:49 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:32:07 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:32:13 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:32:29 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:32:37 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:32:55 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:33:16 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:33:26 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:33:52 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:34:01 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:34:23 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:34:29 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:35:03 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:35:12 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:35:35 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:35:43 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:36:01 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:36:12 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:36:33 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:36:43 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:37:04 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:37:12 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:37:31 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:37:38 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:37:59 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:38:25 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:38:32 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:38:48 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:38:58 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:39:27 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-02-25 05:39:27 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-02-25 05:39:32 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:39:42 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:40:03 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:40:13 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:40:37 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:40:46 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:41:17 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:41:25 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:41:45 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:41:53 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:42:14 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:42:20 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:42:39 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:42:46 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:43:06 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:43:13 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:43:34 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:43:43 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:44:06 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:44:12 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:44:46 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-02-25 05:44:46 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-02-25 05:44:50 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:45:02 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:45:36 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:45:43 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:46:05 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:46:15 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:46:46 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-02-25 05:46:46 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-02-25 05:46:50 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:47:13 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:47:19 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:47:47 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:47:56 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:48:18 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:48:26 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:48:48 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:48:57 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:49:18 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:49:36 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:49:45 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:50:10 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:50:17 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:50:40 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:50:47 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:51:11 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-02-25 05:51:11 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-02-25 05:51:15 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:51:23 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:51:43 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:51:55 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:52:20 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:52:39 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:52:46 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:53:07 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:53:17 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:53:52 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-02-25 05:53:52 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-02-25 05:53:57 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:54:03 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:54:23 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:54:31 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:54:51 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:55:00 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:55:26 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:55:32 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:55:53 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:56:00 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:56:23 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:56:42 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:56:49 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:57:07 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:57:14 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:57:32 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:57:39 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:57:58 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:58:08 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:58:38 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:58:48 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:59:14 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:59:22 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 05:59:49 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 06:00:09 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 06:00:21 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-02-25 06:00:59 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
