2026-02-27 19:17:32 | uvicorn.error | INFO | Started server process [66246]
2026-02-27 19:17:32 | uvicorn.error | INFO | Waiting for application startup.
2026-02-27 19:17:32 | API | INFO | Application startup: LiveOS API online
2026-02-27 19:17:32 | uvicorn.error | INFO | Application startup complete.
2026-02-27 19:18:48 | uvicorn.access | INFO | 127.0.0.1:55910 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:19:46 | uvicorn.access | INFO | 127.0.0.1:55973 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:20:22 | uvicorn.access | INFO | 127.0.0.1:56067 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:21:05 | uvicorn.access | INFO | 127.0.0.1:56117 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:21:46 | uvicorn.access | INFO | 127.0.0.1:56133 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:22:40 | uvicorn.access | INFO | 127.0.0.1:56174 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:23:12 | uvicorn.access | INFO | 127.0.0.1:56239 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:23:52 | uvicorn.access | INFO | 127.0.0.1:56299 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:24:26 | uvicorn.access | INFO | 127.0.0.1:56349 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:25:03 | uvicorn.access | INFO | 127.0.0.1:56411 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:26:03 | uvicorn.access | INFO | 127.0.0.1:56478 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:27:16 | uvicorn.access | INFO | 127.0.0.1:56539 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:28:04 | uvicorn.access | INFO | 127.0.0.1:56591 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:28:44 | uvicorn.access | INFO | 127.0.0.1:56669 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:29:41 | uvicorn.access | INFO | 127.0.0.1:56698 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:30:22 | uvicorn.access | INFO | 127.0.0.1:56769 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:31:10 | uvicorn.access | INFO | 127.0.0.1:56795 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:31:54 | uvicorn.access | INFO | 127.0.0.1:56836 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:32:43 | uvicorn.access | INFO | 127.0.0.1:56877 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:33:16 | uvicorn.access | INFO | 127.0.0.1:56919 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:34:02 | uvicorn.access | INFO | 127.0.0.1:56940 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:34:51 | uvicorn.access | INFO | 127.0.0.1:56969 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:35:36 | uvicorn.access | INFO | 127.0.0.1:57011 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:36:14 | uvicorn.access | INFO | 127.0.0.1:57045 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:37:00 | uvicorn.access | INFO | 127.0.0.1:57063 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:37:31 | uvicorn.access | INFO | 127.0.0.1:57099 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:38:18 | uvicorn.access | INFO | 127.0.0.1:57121 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:39:02 | uvicorn.access | INFO | 127.0.0.1:57151 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:40:01 | uvicorn.access | INFO | 127.0.0.1:57168 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:40:25 | uvicorn.access | INFO | 127.0.0.1:57232 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:41:00 | uvicorn.access | INFO | 127.0.0.1:57257 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:41:24 | uvicorn.access | INFO | 127.0.0.1:57291 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:41:47 | uvicorn.access | INFO | 127.0.0.1:57298 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:42:35 | uvicorn.access | INFO | 127.0.0.1:57308 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:43:19 | uvicorn.access | INFO | 127.0.0.1:57366 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:44:08 | uvicorn.access | INFO | 127.0.0.1:57376 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:44:54 | uvicorn.access | INFO | 127.0.0.1:57397 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:45:37 | uvicorn.access | INFO | 127.0.0.1:57425 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:46:25 | uvicorn.access | INFO | 127.0.0.1:57441 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:47:06 | uvicorn.access | INFO | 127.0.0.1:57488 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:47:57 | uvicorn.access | INFO | 127.0.0.1:57517 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:48:45 | uvicorn.access | INFO | 127.0.0.1:57571 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:49:46 | uvicorn.access | INFO | 127.0.0.1:57608 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:50:43 | uvicorn.access | INFO | 127.0.0.1:57657 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:51:35 | uvicorn.access | INFO | 127.0.0.1:57693 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:52:38 | uvicorn.access | INFO | 127.0.0.1:57732 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:53:19 | uvicorn.access | INFO | 127.0.0.1:57784 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:54:04 | uvicorn.access | INFO | 127.0.0.1:57804 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:54:53 | uvicorn.access | INFO | 127.0.0.1:57840 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:55:42 | uvicorn.access | INFO | 127.0.0.1:57879 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:57:09 | uvicorn.access | INFO | 127.0.0.1:57937 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:57:53 | uvicorn.access | INFO | 127.0.0.1:58002 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:58:17 | uvicorn.access | INFO | 127.0.0.1:58061 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:59:29 | uvicorn.access | INFO | 127.0.0.1:58068 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 19:59:53 | uvicorn.access | INFO | 127.0.0.1:58114 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 20:01:12 | uvicorn.access | INFO | 127.0.0.1:58131 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 20:01:51 | uvicorn.access | INFO | 127.0.0.1:58214 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 20:02:21 | uvicorn.access | INFO | 127.0.0.1:58236 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 20:03:03 | uvicorn.access | INFO | 127.0.0.1:58255 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 20:03:45 | uvicorn.access | INFO | 127.0.0.1:58287 - "POST /api/v1/chat HTTP/1.1" 200
