2026-02-25 05:27:11 | uvicorn.error | INFO | Started server process [47602]
2026-02-25 05:27:11 | uvicorn.error | INFO | Waiting for application startup.
2026-02-25 05:27:11 | API | INFO | Application startup: LiveOS API online
2026-02-25 05:27:11 | uvicorn.error | INFO | Application startup complete.
2026-02-25 05:28:01 | uvicorn.access | INFO | 127.0.0.1:56615 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:31:19 | uvicorn.access | INFO | 127.0.0.1:57018 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:34:28 | uvicorn.access | INFO | 127.0.0.1:57345 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:36:38 | uvicorn.access | INFO | 127.0.0.1:57584 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:38:31 | uvicorn.error | INFO | Shutting down
2026-02-25 05:38:31 | uvicorn.error | INFO | Waiting for background tasks to complete. (CTRL+C to force quit)
2026-02-25 05:40:19 | uvicorn.error | INFO | Waiting for application shutdown.
2026-02-25 05:40:19 | uvicorn.error | INFO | Application shutdown complete.
2026-02-25 05:40:19 | uvicorn.error | INFO | Finished server process [47602]
2026-02-25 05:40:26 | uvicorn.error | INFO | Started server process [62139]
2026-02-25 05:40:26 | uvicorn.error | INFO | Waiting for application startup.
2026-02-25 05:40:26 | API | INFO | Application startup: LiveOS API online
2026-02-25 05:40:26 | uvicorn.error | INFO | Application startup complete.
2026-02-25 05:40:32 | uvicorn.error | INFO | Started server process [62296]
2026-02-25 05:40:32 | uvicorn.error | INFO | Waiting for application startup.
2026-02-25 05:40:32 | API | INFO | Application startup: LiveOS API online
2026-02-25 05:40:32 | uvicorn.error | INFO | Application startup complete.
2026-02-25 05:40:32 | uvicorn.access | INFO | 127.0.0.1:58031 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:41:23 | uvicorn.access | INFO | 127.0.0.1:58167 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:44:35 | uvicorn.error | INFO | Shutting down
2026-02-25 05:44:35 | uvicorn.error | INFO | Waiting for background tasks to complete. (CTRL+C to force quit)
2026-02-25 05:44:51 | uvicorn.error | INFO | Waiting for application shutdown.
2026-02-25 05:44:51 | uvicorn.error | INFO | Application shutdown complete.
