2026-02-25 05:27:07 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:27:07 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:28:01 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:28:48 | LLMService | INFO | [Ollama] Raw extraction: 7 entities, 4 concepts
2026-02-25 05:28:48 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:28:51 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 0 concepts
2026-02-25 05:31:19 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:32:12 | LLMService | INFO | [Ollama] Raw extraction: 9 entities, 4 concepts
2026-02-25 05:32:12 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:32:14 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 0 concepts
2026-02-25 05:34:28 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:35:07 | LLMService | INFO | [Ollama] Raw extraction: 7 entities, 2 concepts
2026-02-25 05:35:07 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:35:09 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 0 concepts
2026-02-25 05:36:38 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:37:42 | LLMService | INFO | [Ollama] Raw extraction: 9 entities, 3 concepts
2026-02-25 05:37:42 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:37:45 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 0 concepts
2026-02-25 05:40:23 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:40:23 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:40:29 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:40:29 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:40:32 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:40:50 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 1 concepts
2026-02-25 05:41:23 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:42:03 | LLMService | INFO | [Ollama] Raw extraction: 9 entities, 2 concepts
2026-02-25 05:42:03 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:42:08 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 1 concepts
2026-02-25 05:44:53 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:44:53 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:44:56 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:45:17 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 1 concepts
2026-02-25 05:45:55 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:46:31 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 2 concepts
2026-02-25 05:46:31 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:46:38 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-02-25 05:48:32 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:48:32 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:48:35 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:49:01 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 1 concepts
2026-02-25 05:49:01 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:49:05 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-02-25 05:50:11 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:50:11 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:50:14 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:50:52 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 2 concepts
2026-02-25 05:50:52 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:50:57 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 4 concepts
2026-02-25 05:52:33 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:53:09 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 2 concepts
2026-02-25 05:53:09 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:53:13 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 2 concepts
2026-02-25 05:55:23 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-02-25 05:55:23 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434)
2026-02-25 05:55:27 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:55:57 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 3 concepts
2026-02-25 05:55:57 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:56:02 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 2 concepts
2026-02-25 05:58:15 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:59:08 | LLMService | INFO | [Ollama] Raw extraction: 6 entities, 3 concepts
2026-02-25 05:59:08 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 05:59:14 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 1 concepts
2026-02-25 06:01:25 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:02:03 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 2 concepts
2026-02-25 06:02:03 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:02:08 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 1 concepts
2026-02-25 06:04:08 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:04:49 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 3 concepts
2026-02-25 06:04:49 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:04:56 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-02-25 06:06:46 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:07:12 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 1 concepts
2026-02-25 06:07:12 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:07:17 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 1 concepts
2026-02-25 06:08:21 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:09:34 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 4 concepts
2026-02-25 06:09:34 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:09:42 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 3 concepts
2026-02-25 06:12:24 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:13:51 | LLMService | INFO | [Ollama] Raw extraction: 9 entities, 4 concepts
2026-02-25 06:13:51 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:13:56 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 2 concepts
2026-02-25 06:18:28 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-02-25 06:19:08 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 2 concepts
