2026-02-27 10:03:47 | uvicorn.error | INFO | Started server process [71305]
2026-02-27 10:03:47 | uvicorn.error | INFO | Waiting for application startup.
2026-02-27 10:03:47 | API | INFO | Application startup: LiveOS API online
2026-02-27 10:03:47 | uvicorn.error | INFO | Application startup complete.
2026-02-27 10:05:22 | uvicorn.access | INFO | 127.0.0.1:64692 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:05:48 | uvicorn.access | INFO | 127.0.0.1:64755 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:06:59 | uvicorn.access | INFO | 127.0.0.1:64770 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:07:44 | uvicorn.access | INFO | 127.0.0.1:64828 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:08:29 | uvicorn.access | INFO | 127.0.0.1:64862 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:09:49 | uvicorn.access | INFO | 127.0.0.1:64894 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:10:59 | uvicorn.access | INFO | 127.0.0.1:64972 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:11:52 | uvicorn.access | INFO | 127.0.0.1:65041 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:13:17 | uvicorn.access | INFO | 127.0.0.1:65078 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:13:58 | uvicorn.access | INFO | 127.0.0.1:65147 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:15:45 | uvicorn.access | INFO | 127.0.0.1:65177 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:17:10 | uvicorn.access | INFO | 127.0.0.1:65266 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:18:24 | uvicorn.access | INFO | 127.0.0.1:65362 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:19:10 | uvicorn.access | INFO | 127.0.0.1:65397 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:20:00 | uvicorn.access | INFO | 127.0.0.1:65444 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:21:05 | uvicorn.access | INFO | 127.0.0.1:65488 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:21:54 | uvicorn.access | INFO | 127.0.0.1:65517 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:23:19 | uvicorn.access | INFO | 127.0.0.1:49154 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:24:05 | uvicorn.access | INFO | 127.0.0.1:49222 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:24:56 | uvicorn.access | INFO | 127.0.0.1:49265 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:25:43 | uvicorn.access | INFO | 127.0.0.1:49314 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:26:36 | uvicorn.access | INFO | 127.0.0.1:49345 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:27:25 | uvicorn.access | INFO | 127.0.0.1:49385 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:28:51 | uvicorn.access | INFO | 127.0.0.1:49417 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:30:15 | uvicorn.access | INFO | 127.0.0.1:49481 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:30:54 | uvicorn.access | INFO | 127.0.0.1:49564 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:32:16 | uvicorn.access | INFO | 127.0.0.1:49580 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:33:41 | uvicorn.access | INFO | 127.0.0.1:49628 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:34:40 | uvicorn.access | INFO | 127.0.0.1:49675 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:35:33 | uvicorn.access | INFO | 127.0.0.1:49726 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:36:14 | uvicorn.access | INFO | 127.0.0.1:49764 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:36:57 | uvicorn.access | INFO | 127.0.0.1:49790 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:37:59 | uvicorn.access | INFO | 127.0.0.1:49812 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:39:11 | uvicorn.access | INFO | 127.0.0.1:49865 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:40:12 | uvicorn.access | INFO | 127.0.0.1:49917 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:41:03 | uvicorn.access | INFO | 127.0.0.1:49985 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:41:41 | uvicorn.access | INFO | 127.0.0.1:50038 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:42:31 | uvicorn.access | INFO | 127.0.0.1:50064 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:43:52 | uvicorn.access | INFO | 127.0.0.1:50102 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:44:21 | uvicorn.error | INFO | Shutting down
2026-02-27 10:44:21 | uvicorn.error | INFO | Waiting for connections to close. (CTRL+C to force quit)
2026-02-27 10:44:23 | uvicorn.access | INFO | 127.0.0.1:50162 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:44:23 | uvicorn.error | INFO | Waiting for application shutdown.
2026-02-27 10:44:23 | uvicorn.error | INFO | Application shutdown complete.
2026-02-27 10:44:23 | uvicorn.error | INFO | Finished server process [71305]
2026-02-27 10:44:31 | uvicorn.error | INFO | Started server process [30846]
2026-02-27 10:44:31 | uvicorn.error | INFO | Waiting for application startup.
2026-02-27 10:44:31 | API | INFO | Application startup: LiveOS API online
2026-02-27 10:44:31 | uvicorn.error | INFO | Application startup complete.
2026-02-27 10:45:44 | uvicorn.access | INFO | 127.0.0.1:50213 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:46:24 | uvicorn.access | INFO | 127.0.0.1:50277 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:47:08 | uvicorn.access | INFO | 127.0.0.1:50292 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:48:27 | uvicorn.access | INFO | 127.0.0.1:50326 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:50:03 | uvicorn.access | INFO | 127.0.0.1:50391 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:50:50 | uvicorn.access | INFO | 127.0.0.1:50484 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:52:33 | uvicorn.access | INFO | 127.0.0.1:50512 - "POST /api/v1/chat HTTP/1.1" 200
2026-02-27 10:53:38 | uvicorn.access | INFO | 127.0.0.1:50641 - "POST /api/v1/chat HTTP/1.1" 200
