2026-02-27 10:03:47 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5433/liveos to use asyncpg driver
2026-02-27 10:03:47 | DatabaseService | INFO | Async database engine created successfully
2026-02-27 10:03:47 | DatabaseService | INFO | Async session maker created successfully
2026-02-27 10:03:47 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-27 10:44:31 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5433/liveos to use asyncpg driver
2026-02-27 10:44:31 | DatabaseService | INFO | Async database engine created successfully
2026-02-27 10:44:31 | DatabaseService | INFO | Async session maker created successfully
2026-02-27 10:44:31 | DatabaseService | INFO | Declarative base for ORM models created successfully
2026-02-27 18:53:28 | DatabaseService | INFO | Converted DATABASE_URL: postgresql+asyncpg://user:password@127.0.0.1:5433/liveos to use asyncpg driver
2026-02-27 18:53:28 | DatabaseService | INFO | Async database engine created successfully
2026-02-27 18:53:28 | DatabaseService | INFO | Async session maker created successfully
2026-02-27 18:53:28 | DatabaseService | INFO | Declarative base for ORM models created successfully
